"","stfips","region","year","ymcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
"260",12,4,1977,1970,0,6.972,0.026606498,5.3785625,258.47748,411625,17.579067
"261",12,4,1972,1970,0,4.696,0.024732785,4.7504234,313.91528,403032,17.579067
"262",12,4,1966,1970,0,2.676,0.026869446,4.19379,470.96698,373441,17.579067
"263",12,4,1963,1970,0,2.197,0.02786704,3.7177911,484.32486,355886,17.579067
"264",12,4,1976,1970,0,6.36,0.026106363,5.287631,250.77048,413232,17.579067
"265",12,4,1967,1970,0,2.902,0.026897514,4.3929925,421.11203,379292.66,17.579067
"266",12,4,1969,1970,0,3.658,0.026644539,4.7993665,410.99792,390996,17.579067
"267",12,4,1968,1970,0,3.238,0.025984796,4.4441829,414.43127,385144.31,17.579067
"268",12,4,1978,1970,0,7.841,0.026939979,5.4362907,243.43222,411629,17.579067
"269",12,4,1964,1970,0,2.346,0.026455231,3.7665195,491.63281,361737.69,17.579067
"270",12,4,1973,1970,0,5.217,0.024598749,4.7947378,322.95099,411899,17.579067
"271",12,4,1970,1970,0,3.998,0.025635572,4.6707721,385.00204,393954,17.579067
"272",12,4,1975,1970,0,5.901,0.025756346,5.2011428,294.02853,417854,17.579067
"273",12,4,1977,1970,1,6.972,0.026606498,5.3785625,123.33311,1428764,0.85829926
"274",12,4,1975,1970,1,5.901,0.025756346,5.2011428,139.07872,1481691,0.85829926
"275",12,4,1966,1970,1,2.676,0.026869446,4.19379,204.83041,1271673.6,0.85829926
"276",12,4,1972,1970,1,4.696,0.024732785,4.7504234,172.09352,1417283,0.85829926
"277",12,4,1964,1970,1,2.346,0.026455231,3.7665195,236.1143,1223943.5,0.85829926
"278",12,4,1978,1970,1,7.841,0.026939979,5.4362907,123.75589,1419146,0.85829926
"279",12,4,1969,1970,1,3.658,0.026644539,4.7993665,195.89178,1343269,0.85829926
"280",12,4,1963,1970,1,2.197,0.02786704,3.7177911,236.48276,1200078.4,0.85829926
"281",12,4,1974,1970,1,5.591,0.025249267,4.9434457,153.78691,1484321,0.85829926
"282",12,4,1965,1970,1,2.493,0.025472028,3.7735741,218.02425,1247808.5,0.85829926
